"Unidade";"Serie";"Turno";"Turma";"Capacidade";"Matriculados";"Vagas";"Excedidos";"Excedentes";"Intencoes";"Totais_Intencoes";"Totais_Excedentes"
"EMEI MARIA IZOLINA THEODORO ZANETTA";"Infantil – III";"Tarde (Infantil)";"Inf. IIID";"11";"11";"0";"0";"1";"1";"8";"13"
"EMEI MARIA ROSA CONCEIÇÃO DE LIMA";"Infantil – III";"Tarde (Infantil)";"Inf. IIIB";"20";"20";"0";"0";"2";"0";"0";"2"
"EMEI NIDOVAL REIS";"Infantil – III";"Manhã (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"5";"0";"0";"10"
"EMEI NIDOVAL REIS";"Infantil – III";"Tarde (Infantil)";"Inf. IIIB";"20";"19";"1";"0";"5";"0";"0";"10"
"EMEI PINÓQUIO";"Infantil";"Integral (Infantil)";"Inf.A";"12";"12";"0";"0";"2";"0";"10";"16"
"EMEI PINÓQUIO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"12";"4";"10";"16"
"EMEI PINÓQUIO";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"16";"0";"1";"1";"5";"10";"16"
"EMEI PINÓQUIO";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"15";"15";"0";"0";"1";"5";"10";"16"
"EMEI PINÓQUIO";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"23";"23";"0";"0";"1";"1";"10";"16"
"EMEI PINÓQUIO";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"15";"15";"0";"0";"1";"1";"10";"16"
"EMEI ROBERVAL BARROS";"Infantil – II";"Tarde (Infantil)";"Inf. IIC";"10";"10";"0";"0";"2";"0";"5";"7"
"EMEI ROBERVAL BARROS";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"7";"7";"0";"0";"3";"4";"5";"7"
"EMEI ROBERVAL BARROS";"Infantil – III";"Manhã (Infantil)";"Inf. IIIB";"13";"13";"0";"0";"2";"1";"5";"7"
"EMEI ROSANGELA VIEIRA MARTINS DE CARVALHO";"Infantil – II";"Manhã (Infantil)";"Inf. IIA";"15";"15";"0";"0";"1";"0";"5";"4"
"EMEI ROSANGELA VIEIRA MARTINS DE CARVALHO";"Infantil – III";"Manhã (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"1";"3";"5";"4"
"EMEI ROSANGELA VIEIRA MARTINS DE CARVALHO";"Infantil – III";"Tarde (Infantil)";"Inf. IIIB";"20";"19";"1";"0";"2";"2";"5";"4"
"EMEI STÉLIO MACHADO LOUREIRO";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"14";"14";"0";"0";"2";"4";"4";"2"
"EMEI VALÉRIA DE OLIVEIRA ASENJO";"Infantil – II";"Tarde (Infantil)";"Inf. IIA";"15";"15";"0";"0";"1";"0";"1";"5"
"EMEI VALÉRIA DE OLIVEIRA ASENJO";"Infantil – III";"Manhã (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"1";"0";"1";"5"
"EMEI VALÉRIA DE OLIVEIRA ASENJO";"Infantil – III";"Tarde (Infantil)";"Inf. IIIB";"10";"10";"0";"0";"3";"1";"1";"5"
"EMEII AIDA TIBIRIÇÁ BORRO";"Infantil";"Integral (Infantil)";"Inf.A";"3";"3";"0";"0";"1";"1";"1";"3"
"EMEII AIDA TIBIRIÇÁ BORRO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"7";"8";"0";"1";"2";"0";"1";"3"
"EMEII ANTONIO DAIBEM";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"4";"0";"5";"5"
"EMEII ANTONIO DAIBEM";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"15";"0";"0";"1";"5";"5";"5"
"EMEII ANTONIO DAIBEM";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"15";"15";"0";"0";"1";"5";"5";"5"
"EMEII ARLINDO BOEMER GUEDES DE AZEVEDO - SEDE 02";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"11";"11";"0";"0";"1";"1";"1";"1"
"EMEII ARLINDO BOEMER GUEDES DE AZEVEDO - SEDE 02";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"11";"11";"0";"0";"1";"1";"1";"1"
"EMEII DALVA FREITAS FERRAZ COSTA";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"20";"19";"1";"0";"4";"0";"0";"4"
"EMEII DALVA FREITAS FERRAZ COSTA";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"9";"9";"0";"0";"4";"0";"0";"4"
"EMEII ETELVINA DE ARAÚJO ALMEIDA";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"7";"1";"3";"11"
